estado,ano,populacao_38_58_anos
Acre,2007,118936
Acre,2008,124039
Acre,2009,129247
Acre,2010,134483
Acre,2011,139739
Acre,2012,145075
Acre,2013,150539
Acre,2014,156171
Acre,2015,161955
Acre,2016,167913
Acre,2017,173963
Acre,2018,179925
Acre,2019,185778
Acre,2020,191491
Acre,2021,196840
Acre,2022,202080
Alagoas,2007,615767
Alagoas,2008,631900
Alagoas,2009,647881
Alagoas,2010,663541
Alagoas,2011,678765
Alagoas,2012,693898
Alagoas,2013,709277
Alagoas,2014,725164
Alagoas,2015,741658
Alagoas,2016,758748
Alagoas,2017,776242
Alagoas,2018,793645
Alagoas,2019,810607
Alagoas,2020,826340
Alagoas,2021,840520
Alagoas,2022,853826
Amapá,2007,102310
Amapá,2008,107901
Amapá,2009,113550
Amapá,2010,119139
Amapá,2011,124639
Amapá,2012,130168
Amapá,2013,135763
Amapá,2014,141419
Amapá,2015,147093
Amapá,2016,152771
Amapá,2017,158449
Amapá,2018,164014
Amapá,2019,169508
Amapá,2020,174875
Amapá,2021,180033
Amapá,2022,185157
Amazonas,2007,574664
Amazonas,2008,598033
Amazonas,2009,621932
Amazonas,2010,646338
Amazonas,2011,671143
Amazonas,2012,696527
Amazonas,2013,722756
Amazonas,2014,749874
Amazonas,2015,777884
Amazonas,2016,806809
Amazonas,2017,836647
Amazonas,2018,867398
Amazonas,2019,898809
Amazonas,2020,928553
Amazonas,2021,955583
Amazonas,2022,983355
Bahia,2007,2972397
Bahia,2008,3044813
Bahia,2009,3118052
Bahia,2010,3191749
Bahia,2011,3265097
Bahia,2012,3339391
Bahia,2013,3415946
Bahia,2014,3496296
Bahia,2015,3581339
Bahia,2016,3671370
Bahia,2017,3765277
Bahia,2018,3861000
Bahia,2019,3956517
Bahia,2020,4047878
Bahia,2021,4132450
Bahia,2022,4212703
Ceará,2007,1749592
Ceará,2008,1794549
Ceará,2009,1839495
Ceará,2010,1884085
Ceará,2011,1927751
Ceará,2012,1971344
Ceará,2013,2015846
Ceará,2014,2062000
Ceará,2015,2110520
Ceará,2016,2161338
Ceará,2017,2213275
Ceará,2018,2264988
Ceará,2019,2315787
Ceará,2020,2363772
Ceará,2021,2407663
Ceará,2022,2451529
Distrito Federal,2007,563713
Distrito Federal,2008,583469
Distrito Federal,2009,603266
Distrito Federal,2010,623128
Distrito Federal,2011,643038
Distrito Federal,2012,663342
Distrito Federal,2013,684274
Distrito Federal,2014,706097
Distrito Federal,2015,728885
Distrito Federal,2016,752645
Distrito Federal,2017,777044
Distrito Federal,2018,801332
Distrito Federal,2019,824815
Distrito Federal,2020,846595
Distrito Federal,2021,865929
Distrito Federal,2022,883878
Espírito Santo,2007,863793
Espírito Santo,2008,886521
Espírito Santo,2009,908213
Espírito Santo,2010,928569
Espírito Santo,2011,947655
Espírito Santo,2012,966152
Espírito Santo,2013,984449
Espírito Santo,2014,1003076
Espírito Santo,2015,1022286
Espírito Santo,2016,1042163
Espírito Santo,2017,1062618
Espírito Santo,2018,1083251
Espírito Santo,2019,1103896
Espírito Santo,2020,1123718
Espírito Santo,2021,1142014
Espírito Santo,2022,1159835
Goiás,2007,1373570
Goiás,2008,1421358
Goiás,2009,1469280
Goiás,2010,1516385
Goiás,2011,1562711
Goiás,2012,1609506
Goiás,2013,1656628
Goiás,2014,1704193
Goiás,2015,1752215
Goiás,2016,1800772
Goiás,2017,1849583
Goiás,2018,1898086
Goiás,2019,1946107
Goiás,2020,1992304
Goiás,2021,2033596
Goiás,2022,2073145
Maranhão,2007,1161981
Maranhão,2008,1192123
Maranhão,2009,1222224
Maranhão,2010,1251825
Maranhão,2011,1280679
Maranhão,2012,1309832
Maranhão,2013,1340389
Maranhão,2014,1373289
Maranhão,2015,1409105
Maranhão,2016,1447930
Maranhão,2017,1489259
Maranhão,2018,1532250
Maranhão,2019,1576453
Maranhão,2020,1620517
Maranhão,2021,1663558
Maranhão,2022,1706489
Mato Grosso,2007,659417
Mato Grosso,2008,682304
Mato Grosso,2009,704997
Mato Grosso,2010,727371
Mato Grosso,2011,749428
Mato Grosso,2012,771609
Mato Grosso,2013,794173
Mato Grosso,2014,817426
Mato Grosso,2015,841598
Mato Grosso,2016,866787
Mato Grosso,2017,892846
Mato Grosso,2018,919580
Mato Grosso,2019,946596
Mato Grosso,2020,972660
Mato Grosso,2021,996535
Mato Grosso,2022,1020212
Mato Grosso do Sul,2007,562707
Mato Grosso do Sul,2008,578407
Mato Grosso do Sul,2009,593529
Mato Grosso do Sul,2010,607894
Mato Grosso do Sul,2011,621543
Mato Grosso do Sul,2012,634810
Mato Grosso do Sul,2013,647954
Mato Grosso do Sul,2014,661299
Mato Grosso do Sul,2015,675010
Mato Grosso do Sul,2016,689199
Mato Grosso do Sul,2017,703748
Mato Grosso do Sul,2018,718386
Mato Grosso do Sul,2019,732852
Mato Grosso do Sul,2020,746605
Mato Grosso do Sul,2021,758485
Mato Grosso do Sul,2022,770017
Minas Gerais,2007,4880165
Minas Gerais,2008,4978556
Minas Gerais,2009,5071980
Minas Gerais,2010,5159284
Minas Gerais,2011,5240548
Minas Gerais,2012,5319244
Minas Gerais,2013,5396985
Minas Gerais,2014,5475679
Minas Gerais,2015,5556389
Minas Gerais,2016,5639810
Minas Gerais,2017,5725214
Minas Gerais,2018,5811016
Minas Gerais,2019,5895632
Minas Gerais,2020,5975399
Minas Gerais,2021,6043944
Minas Gerais,2022,6108343
Paraná,2007,2632507
Paraná,2008,2694871
Paraná,2009,2753794
Paraná,2010,2808282
Paraná,2011,2858364
Paraná,2012,2905756
Paraná,2013,2951442
Paraná,2014,2996987
Paraná,2015,3043229
Paraná,2016,3090722
Paraná,2017,3138879
Paraná,2018,3186559
Paraná,2019,3232542
Paraná,2020,3274334
Paraná,2021,3306446
Paraná,2022,3334061
Paraíba,2007,803743
Paraíba,2008,822595
Paraíba,2009,841578
Paraíba,2010,860801
Paraíba,2011,880156
Paraíba,2012,899906
Paraíba,2013,920356
Paraíba,2014,941732
Paraíba,2015,964170
Paraíba,2016,987726
Paraíba,2017,1011972
Paraíba,2018,1036204
Paraíba,2019,1059895
Paraíba,2020,1082079
Paraíba,2021,1102009
Paraíba,2022,1120939
Pará,2007,1335878
Pará,2008,1382762
Pará,2009,1430311
Pará,2010,1477871
Pará,2011,1525302
Pará,2012,1573611
Pará,2013,1623426
Pará,2014,1675030
Pará,2015,1728406
Pará,2016,1783544
Pará,2017,1840166
Pará,2018,1897636
Pará,2019,1955992
Pará,2020,2013973
Pará,2021,2070451
Pará,2022,2126374
Pernambuco,2007,1893680
Pernambuco,2008,1939520
Pernambuco,2009,1986057
Pernambuco,2010,2032964
Pernambuco,2011,2079805
Pernambuco,2012,2127240
Pernambuco,2013,2175601
Pernambuco,2014,2225004
Pernambuco,2015,2275381
Pernambuco,2016,2326721
Pernambuco,2017,2378426
Pernambuco,2018,2429493
Pernambuco,2019,2479316
Pernambuco,2020,2525819
Pernambuco,2021,2567536
Pernambuco,2022,2607828
Piauí,2007,648788
Piauí,2008,663067
Piauí,2009,677455
Piauí,2010,692081
Piauí,2011,706828
Piauí,2012,721846
Piauí,2013,737442
Piauí,2014,753904
Piauí,2015,771438
Piauí,2016,790059
Piauí,2017,809413
Piauí,2018,829050
Piauí,2019,848598
Piauí,2020,867365
Piauí,2021,884914
Piauí,2022,901633
Rio Grande do Norte,2007,678512
Rio Grande do Norte,2008,697424
Rio Grande do Norte,2009,716409
Rio Grande do Norte,2010,735411
Rio Grande do Norte,2011,754136
Rio Grande do Norte,2012,772737
Rio Grande do Norte,2013,791359
Rio Grande do Norte,2014,810183
Rio Grande do Norte,2015,829425
Rio Grande do Norte,2016,849100
Rio Grande do Norte,2017,868820
Rio Grande do Norte,2018,887998
Rio Grande do Norte,2019,906401
Rio Grande do Norte,2020,923556
Rio Grande do Norte,2021,939077
Rio Grande do Norte,2022,954484
Rio Grande do Sul,2007,2948384
Rio Grande do Sul,2008,2980402
Rio Grande do Sul,2009,3007347
Rio Grande do Sul,2010,3029420
Rio Grande do Sul,2011,3046664
Rio Grande do Sul,2012,3060410
Rio Grande do Sul,2013,3072149
Rio Grande do Sul,2014,3083698
Rio Grande do Sul,2015,3096331
Rio Grande do Sul,2016,3110625
Rio Grande do Sul,2017,3126112
Rio Grande do Sul,2018,3141740
Rio Grande do Sul,2019,3156772
Rio Grande do Sul,2020,3169659
Rio Grande do Sul,2021,3177031
Rio Grande do Sul,2022,3184465
Rio de Janeiro,2007,4316520
Rio de Janeiro,2008,4379923
Rio de Janeiro,2009,4438939
Rio de Janeiro,2010,4493667
Rio de Janeiro,2011,4544128
Rio de Janeiro,2012,4592137
Rio de Janeiro,2013,4639026
Rio de Janeiro,2014,4686048
Rio de Janeiro,2015,4733643
Rio de Janeiro,2016,4782447
Rio de Janeiro,2017,4831971
Rio de Janeiro,2018,4880499
Rio de Janeiro,2019,4926649
Rio de Janeiro,2020,4965652
Rio de Janeiro,2021,4994277
Rio de Janeiro,2022,5021470
Rondônia,2007,322603
Rondônia,2008,334255
Rondônia,2009,345759
Rondônia,2010,356812
Rondônia,2011,367414
Rondônia,2012,377957
Rondônia,2013,388449
Rondônia,2014,398948
Rondônia,2015,409465
Rondônia,2016,419962
Rondônia,2017,430330
Rondônia,2018,440291
Rondônia,2019,449920
Rondônia,2020,459037
Rondônia,2021,466913
Rondônia,2022,474534
Roraima,2007,75895
Roraima,2008,79238
Roraima,2009,82573
Roraima,2010,86008
Roraima,2011,89641
Roraima,2012,93448
Roraima,2013,97467
Roraima,2014,101733
Roraima,2015,106287
Roraima,2016,111128
Roraima,2017,116577
Roraima,2018,123697
Roraima,2019,132258
Roraima,2020,139411
Roraima,2021,144824
Roraima,2022,151381
Santa Catarina,2007,1590545
Santa Catarina,2008,1632892
Santa Catarina,2009,1673663
Santa Catarina,2010,1713077
Santa Catarina,2011,1751298
Santa Catarina,2012,1789199
Santa Catarina,2013,1827463
Santa Catarina,2014,1867062
Santa Catarina,2015,1908738
Santa Catarina,2016,1952732
Santa Catarina,2017,1998742
Santa Catarina,2018,2046677
Santa Catarina,2019,2095892
Santa Catarina,2020,2144650
Santa Catarina,2021,2191119
Santa Catarina,2022,2238802
Sergipe,2007,419398
Sergipe,2008,433519
Sergipe,2009,447577
Sergipe,2010,461422
Sergipe,2011,474950
Sergipe,2012,488295
Sergipe,2013,501732
Sergipe,2014,515462
Sergipe,2015,529613
Sergipe,2016,544208
Sergipe,2017,559076
Sergipe,2018,573868
Sergipe,2019,588360
Sergipe,2020,602049
Sergipe,2021,614558
Sergipe,2022,626574
São Paulo,2007,10506732
São Paulo,2008,10735397
São Paulo,2009,10955314
São Paulo,2010,11164534
São Paulo,2011,11362761
São Paulo,2012,11554562
São Paulo,2013,11743134
São Paulo,2014,11933132
São Paulo,2015,12127183
São Paulo,2016,12326964
São Paulo,2017,12530776
São Paulo,2018,12733834
São Paulo,2019,12933176
São Paulo,2020,13120506
São Paulo,2021,13279432
São Paulo,2022,13428861
Tocantins,2007,265361
Tocantins,2008,274204
Tocantins,2009,283106
Tocantins,2010,291938
Tocantins,2011,300777
Tocantins,2012,309843
Tocantins,2013,319187
Tocantins,2014,328871
Tocantins,2015,338902
Tocantins,2016,349250
Tocantins,2017,359814
Tocantins,2018,370392
Tocantins,2019,380870
Tocantins,2020,391006
Tocantins,2021,400337
Tocantins,2022,409267
